atc_idx,atc_code
412,A07AX02
413,A07AX03
414,A07AX04
415,A07B
416,A07BA
417,A07BA01
418,A07BA51
419,A07BB
420,A07BC
421,A07BC01
422,A07BC02
423,A07BC03
424,A07BC04
425,A07BC05
426,A07BC30
427,A07BC54
428,A07C
429,A07CA
430,A07D
431,A07DA
432,A07DA01
433,A07DA02
434,A07DA03
435,A07DA04
436,A07DA05
437,A07DA06
438,A07DA52
439,A07DA53
440,A07E
441,A07EA
442,A07EA01
443,A07EA02
444,A07EA03
445,A07EA04
446,A07EA05
447,A07EA06
448,A07EA07
449,A07EB
450,A07EB01
451,A07EC
452,A07EC01
453,A07EC02
454,A07EC03
455,A07EC04
456,A07F
457,A07FA
458,A07FA01
459,A07FA02
460,A07FA51
461,A07X
462,A07XA
463,A07XA01
464,A07XA02
465,A07XA03
466,A07XA04
467,A07XA06
468,A07XA51
469,A08
470,A08A
471,A08AA
472,A08AA01
473,A08AA02
474,A08AA03
475,A08AA04
476,A08AA05
477,A08AA06
478,A08AA07
479,A08AA08
480,A08AA09
481,A08AA10
482,A08AA11
483,A08AA12
484,A08AA56
485,A08AA62
486,A08AB
487,A08AB01
488,A08AX
489,A08AX01
490,A09
491,A09A
492,A09AA
493,A09AA01
494,A09AA02
495,A09AA03
496,A09AA04
497,A09AB
498,A09AB01
499,A09AB02
500,A09AB03
501,A09AB04
502,A09AC
503,A09AC01
504,A09AC02
505,A10
506,A10A
507,A10AB
508,A10AB01
509,A10AB02
510,A10AB03
511,A10AB04
512,A10AB05
513,A10AB06
514,A10AB30
515,A10AC
516,A10AC01
517,A10AC02
518,A10AC03
519,A10AC04
520,A10AC30
521,A10AD
522,A10AD01
523,A10AD02
524,A10AD03
525,A10AD04
526,A10AD05
527,A10AD06
528,A10AD30
529,A10AE
530,A10AE01
531,A10AE02
532,A10AE03
533,A10AE04
534,A10AE05
535,A10AE06
536,A10AE30
537,A10AE54
538,A10AE56
539,A10AF
540,A10AF01
541,A10B
542,A10BA
543,A10BA01
544,A10BA02
545,A10BA03
546,A10BB
547,A10BB01
548,A10BB02
549,A10BB03
550,A10BB04
551,A10BB05
552,A10BB06
553,A10BB07
554,A10BB08
555,A10BB09
556,A10BB10
557,A10BB11
558,A10BB12
559,A10BB31
560,A10BC
561,A10BC01
562,A10BD
563,A10BD01
564,A10BD02
565,A10BD03
566,A10BD04
567,A10BD05
568,A10BD06
569,A10BD07
570,A10BD08
571,A10BD09
572,A10BD10
573,A10BD11
574,A10BD12
575,A10BD13
576,A10BD14
577,A10BD15
578,A10BD16
579,A10BD17
580,A10BD18
581,A10BD19
582,A10BD20
583,A10BD21
584,A10BD22
585,A10BD23
586,A10BD24
587,A10BD25
588,A10BD26
589,A10BD27
590,A10BF
591,A10BF01
592,A10BF02
593,A10BF03
594,A10BG
595,A10BG01
596,A10BG02
597,A10BG03
598,A10BG04
599,A10BH
600,A10BH01
601,A10BH02
602,A10BH03
603,A10BH04
604,A10BH05
605,A10BH06
606,A10BH07
607,A10BH08
608,A10BH51
609,A10BH52
610,A10BJ
611,A10BJ01
612,A10BJ02
613,A10BJ03
614,A10BJ04
615,A10BJ05
616,A10BJ06
617,A10BJ07
618,A10BK
619,A10BK01
620,A10BK02
621,A10BK03
622,A10BK04
623,A10BK05
624,A10BK06
625,A10BK07
626,A10BX
627,A10BX01
628,A10BX02
629,A10BX03
630,A10BX05
631,A10BX06
632,A10BX08
633,A10BX15
634,A10X
635,A10XA
636,A10XA01
637,A11
638,A11A
639,A11AA
640,A11AA01
641,A11AA02
642,A11AA03
643,A11AA04
644,A11AB
645,A11B
646,A11BA
647,A11C
648,A11CA
649,A11CA01
650,A11CA02
651,A11CB
652,A11CC
653,A11CC01
654,A11CC02
655,A11CC03
656,A11CC04
657,A11CC05
658,A11CC06
659,A11CC20
660,A11CC55
661,A11D
662,A11DA
663,A11DA01
664,A11DA02
665,A11DA03
666,A11DB
667,A11E
668,A11EA
669,A11EB
670,A11EC
671,A11ED
672,A11EX
673,A11G
674,A11GA
675,A11GA01
676,A11GB
677,A11GB01
678,A11H
679,A11HA
680,A11HA01
681,A11HA02
682,A11HA03
683,A11HA04
684,A11HA05
685,A11HA06
686,A11HA07
687,A11HA08
688,A11HA30
689,A11HA31
690,A11HA32
691,A11J
692,A11JA
693,A11JB
694,A11JC
695,A12
696,A12A
697,A12AA
698,A12AA01
699,A12AA02
700,A12AA03
701,A12AA04
702,A12AA05
703,A12AA06
704,A12AA07
705,A12AA08
706,A12AA09
707,A12AA10
708,A12AA11
709,A12AA13
710,A12AA20
711,A12AA30
712,A12AX
713,A12B
714,A12BA
715,A12BA01
716,A12BA02
717,A12BA03
718,A12BA04
719,A12BA05
720,A12BA30
721,A12BA51
722,A12C
723,A12CA
724,A12CA01
725,A12CA02
726,A12CB
727,A12CB01
728,A12CB02
729,A12CB03
730,A12CC
731,A12CC01
732,A12CC02
733,A12CC03
734,A12CC04
735,A12CC05
736,A12CC06
737,A12CC07
738,A12CC08
739,A12CC09
740,A12CC10
741,A12CC30
742,A12CD
743,A12CD01
744,A12CD02
745,A12CD51
746,A12CE
747,A12CE01
748,A12CE02
749,A12CX
750,A14
751,A14A
752,A14AA
753,A14AA01
754,A14AA02
755,A14AA03
756,A14AA04
757,A14AA05
758,A14AA06
759,A14AA07
760,A14AA08
761,A14AA09
762,A14AB
763,A14AB01
764,A14AB02
765,A14AB03
766,A16
767,A16A
768,A16AA
769,A16AA01
770,A16AA02
771,A16AA03
772,A16AA04
773,A16AA05
774,A16AA06
775,A16AA07
776,A16AB
777,A16AB01
778,A16AB02
779,A16AB03
780,A16AB04
781,A16AB05
782,A16AB06
783,A16AB07
784,A16AB08
785,A16AB09
786,A16AB10
787,A16AB11
788,A16AB12
789,A16AB13
790,A16AB14
791,A16AB15
792,A16AB16
793,A16AB17
794,A16AB18
795,A16AB19
796,A16AB20
797,A16AB21
798,A16AB22
799,A16AX
800,A16AX01
801,A16AX02
802,A16AX03
803,A16AX04
804,A16AX05
805,A16AX06
806,A16AX07
807,A16AX08
808,A16AX09
