icd_idx,icd_code
599,B468
600,B469
601,B47
602,B470
603,B479
604,B48
605,B481
606,B482
607,B483
608,B484
609,B488
610,B50-B64
611,B52
612,B520
613,B528
614,B529
615,B53
616,B530
617,B531
618,B538
619,B55
620,B550
621,B551
622,B552
623,B559
624,B58
625,B580
626,B5800
627,B5809
628,B588
629,B5889
630,B589
631,B60
632,B600
633,B601
634,B6010
635,B6011
636,B6012
637,B6013
638,B6019
639,B608
640,B65-B83
641,B66
642,B660
643,B661
644,B662
645,B663
646,B664
647,B665
648,B668
649,B669
650,B67
651,B670
652,B671
653,B6731
654,B6732
655,B6739
656,B674
657,B675
658,B676
659,B6761
660,B6769
661,B677
662,B678
663,B6790
664,B6799
665,B68
666,B680
667,B681
668,B689
669,B70
670,B700
671,B701
672,B71
673,B710
674,B711
675,B718
676,B719
677,B73
678,B730
679,B7300
680,B7301
681,B7309
682,B731
683,B76
684,B760
685,B761
686,B768
687,B769
688,B77
689,B770
690,B778
691,B7789
692,B779
693,B78
694,B780
695,B781
696,B787
697,B789
698,B81
699,B810
700,B814
701,B818
702,B82
703,B829
704,B83
705,B830
706,B831
707,B833
708,B834
709,B85-B89
710,B85
711,B850
712,B851
713,B852
714,B853
715,B854
716,B87
717,B870
718,B871
719,B872
720,B873
721,B874
722,B878
723,B8781
724,B8782
725,B8789
726,B879
727,B88
728,B880
729,B881
730,B882
731,B883
732,B888
733,B889
734,B90-B94
735,B90
736,B900
737,B901
738,B902
739,B94
740,B941
741,B948
742,B949
743,B99-B99
744,B99
745,B998
746,B999
747,C00-D49
748,C00-C14
749,C00
750,C000
751,C001
752,C003
753,C004
754,C005
755,C006
756,C008
757,C009
758,C02
759,C020
760,C021
761,C022
762,C023
763,C028
764,C029
765,C04
766,C040
767,C041
768,C048
769,C049
770,C05
771,C050
772,C051
773,C052
774,C058
775,C059
776,C06
777,C060
778,C061
779,C062
780,C068
781,C0680
782,C0689
783,C08
784,C080
785,C081
786,C089
787,C10
788,C100
789,C101
790,C102
791,C103
792,C104
793,C108
794,C109
795,C11
796,C110
797,C112
798,C118
799,C119
800,C13
801,C130
802,C131
803,C132
804,C138
805,C139
806,C14
807,C140
808,C142
809,C148
810,C15-C26
811,C15
812,C153
813,C154
814,C155
815,C158
816,C159
817,C16
818,C160
819,C161
820,C162
821,C163
822,C164
823,C165
824,C166
825,C168
826,C169
827,C17
828,C170
829,C171
830,C172
831,C173
832,C178
833,C179
834,C18
835,C180
836,C181
837,C182
838,C183
839,C184
840,C185
841,C186
842,C187
843,C188
844,C189
845,C21
846,C210
847,C211
848,C212
849,C218
850,C22
851,C220
852,C222
853,C223
854,C224
855,C227
856,C228
857,C229
858,C24
859,C241
860,C248
861,C25
862,C250
863,C251
864,C252
865,C253
866,C257
867,C258
868,C259
869,C26
870,C260
871,C261
872,C269
873,C30-C39
874,C30
875,C301
876,C31
877,C311
878,C312
879,C313
880,C318
881,C319
882,C32
883,C320
884,C321
885,C322
886,C328
887,C329
888,C34
889,C340
890,C3400
891,C3401
892,C3402
893,C341
894,C3410
895,C3411
896,C3412
897,C342
898,C343
899,C3430
900,C3431
901,C3432
902,C348
903,C3480
904,C3481
905,C3482
906,C349
907,C3490
908,C3491
909,C3492
910,C38
911,C381
912,C382
913,C383
914,C384
915,C388
916,C39
917,C390
918,C399
919,C40-C41
920,C41
921,C412
922,C413
923,C414
924,C419
925,C45-C49
926,C46
927,C464
928,C465
929,C4650
930,C4651
931,C4652
932,C467
933,C469
934,C51-C58
935,C51
936,C510
937,C511
938,C512
939,C518
940,C519
941,C53
942,C530
943,C531
944,C538
945,C539
946,C54
947,C540
948,C541
949,C542
950,C543
951,C548
952,C549
953,C57
954,C570
955,C5700
956,C5701
957,C5702
958,C571
959,C5710
960,C5711
961,C5712
962,C572
963,C5720
964,C5721
965,C5722
966,C574
967,C577
968,C578
969,C64-C68
970,C64
971,C641
972,C642
973,C649
974,C66
975,C661
976,C662
977,C669
978,C67
979,C670
980,C671
981,C672
982,C673
983,C674
984,C675
985,C677
986,C678
987,C679
988,C68
989,C680
990,C681
991,C688
992,C689
993,C69-C72
994,C69
995,C690
996,C6900
997,C6901
998,C6902
999,C691
1000,C6910
1001,C6911
1002,C6912
1003,C692
1004,C6920
1005,C6921
1006,C6922
1007,C693
1008,C6930
1009,C6931
1010,C6932
1011,C694
1012,C6940
1013,C6941
1014,C6942
1015,C695
1016,C6950
1017,C6951
1018,C6952
1019,C696
1020,C6960
1021,C6961
1022,C6962
1023,C698
1024,C6980
1025,C6981
1026,C6982
1027,C699
1028,C6990
